id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,source,medium,descriptive medium,artist,title
62,1933,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"37.779649,-122.420552",Public Display,District 6,War Memorial,Herbst Theater,San Francisco Arts Commission,oil,oil,"Brangwyn, Frank",Fire: Industrial Fire
63,1933,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"37.779649,-122.420552",Public Display,District 6,War Memorial,Herbst Theater,San Francisco Arts Commission,oil,oil,"Brangwyn, Frank",Water: The Net
64,1933,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"37.779649,-122.420552",Public Display,District 6,War Memorial,Herbst Theater,San Francisco Arts Commission,oil,oil,"Brangwyn, Frank",Water: The Fountain
65,1933,Commissioned for the Panama-Pacific International Exposition.,27 X 23',"37.8028347,-122.4483876",Public Display,District 2,Palace of Fine Arts,,San Francisco Arts Commission,oil,oil,"Reid, Robert",The Golden Poppy
66,1933,Commissioned for the Panama-Pacific International Exposition.,27 X 23',"37.8028347,-122.4483876",Public Display,District 2,Palace of Fine Arts,,San Francisco Arts Commission,oil,oil,"Reid, Robert",The Golden Grain
67,1933,Commissioned for the Panama-Pacific International Exposition.,27 X 23',"37.8028347,-122.4483876",Public Display,District 2,Palace of Fine Arts,,San Francisco Arts Commission,oil,oil,"Reid, Robert",The Golden Fruit
68,1933,Commissioned for the Panama-Pacific International Exposition.,,"37.8028347,-122.4483876",Public Display,District 2,Palace of Fine Arts,,San Francisco Arts Commission,oil,oil,"Reid, Robert",The Golden Metal
69,1933,Commissioned for the Panama-Pacific International Exposition.,,"37.8028347,-122.4483876",Public Display,District 2,Palace of Fine Arts,,San Francisco Arts Commission,oil,oil,"Reid, Robert",The Birth of European Art
70,1933,Commissioned for the Panama-Pacific International Exposition.,,"37.8028347,-122.4483876",Public Display,District 2,Palace of Fine Arts,,San Francisco Arts Commission,oil,oil,"Reid, Robert",Oriental Art
71,1933,Commissioned for the Panama-Pacific International Exposition.,,"37.8028347,-122.4483876",Public Display,District 2,Palace of Fine Arts,,San Francisco Arts Commission,oil,oil,"Reid, Robert",Ideals in Art
72,1933,Gift of Mrs. Lillie Hitchcock Coit.,10' H,"37.7324503,-122.1569535",Public Display,District 3,Washington Square Park,,San Francisco Arts Commission,bronze,bronze,"Patigian, Haig",Volunteer Fireman Memorial
