id,accession date,artist,created_at,credit line,display dimensions,geometry,latlon,location_description,descriptive medium,medium,source,title
641,2009,"Kim, Cheonae",01/01/1970 12:33:29 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",Public Display : District 7 : Laguna Honda Hospital : Aqua Therapy Room : North,Glazed ceramic tile,glazed ceramic tile,San Francisco Arts Commission,somewhere
642,2009,"Igarashi, Takenobu",01/01/1970 12:33:28 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital,Aluminum and steel,aluminum and steel,San Francisco Arts Commission,Sky Dancing
643,2009,Living Lenses (Po Shu Wang & Loui,2004-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : Courtyard J,Redwood,redwood,San Francisco Arts Commission,NEVERODDOREVEN
644,2009,"Rojas, Clare",2008-2009,,,"-122.389979,37.615223","37.615223,-122.389979",Airport : International Terminal : Boarding Area G,Paint and pigmented ink,paint and pigmented ink,San Francisco Arts Commission,Blue Deer
645,2009,"Goldberg, Jim and Rubin, Jon",05/01/2008 07:00:00 AM +0000,,312 in. x 480 in.,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 11 : Minnie and Lovie Ward Recreation Center : Capital,laminated digital print,laminated digital print,San Francisco Arts Commission,Imagine Even More
646,2009,"Donahue, Scott",01/01/1970 12:33:30 AM +0000,,,"-122.451011,37.7701867","37.7701867,-122.451011",Public Display : Richmond Branch Library,Bronze and porcelain enamel,bronze and porcelain enamel,San Francisco Arts Commission,To This Place
647,2009,"Lieb, Reddy and Raynsford, Linda",01/01/1970 12:33:27 AM +0000,,,"-122.4596396,37.7243765","37.7243765,-122.4596396",Public Display : District 8 : Glen Park branch Library : 2825 Diamond St.,Glass,glass,San Francisco Arts Commission,Six Degrees
648,2009,"Zoell, Bob",01/01/1970 12:33:30 AM +0000,,,"-122.389979,37.615223","37.615223,-122.389979",Airport : T-2 : Secure Connector,Frosted glass,frosted glass,San Francisco Arts Commission,Untitled frosted glass panels]
649,2009,"Sato, Norie",,Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : North and South Façade,,,San Francisco Arts Commission,Air Over Under
650,2009,"Echelman, Janet",01/01/1970 12:33:31 AM +0000,Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : Recomposure Area : Post-security,"POWDER-COATED STEEL, COLORED FIBER, COMPUTER-PROGRAMMED 
AIRFLOW & COLORED LIGHT","powder-coated steel, colored fiber, computer-programmed 
airflow & colored light",San Francisco Arts Commission,Untitled T-2 interior]
651,2009,"Sowers, Charles",01/01/1970 12:33:31 AM +0000,Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,144 in. x 150 in. x 12 in.,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : Between Gates 58A and 58B : Children's Play Area,"Mechanical butterflies, motors and custom electronics","mechanical butterflies, motors and custom electronics",San Francisco Arts Commission,Butterfly Wall
652,2009,"Kitundu, Walter",01/01/1970 12:33:31 AM +0000,Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : Between Gates 54A and 54B,"Wood, ink and plastic","wood, ink and plastic",San Francisco Arts Commission,San Francisco Bay Area Bird Encounters
