id,accession date,artist,created_at,credit line,display dimensions,geometry,latlon,location_description,descriptive medium,medium,source,title
653,2009,"Buster, Kendall",01/01/1970 12:33:31 AM +0000,Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,,"-122.389979,37.615223","37.615223,-122.389979",Airport : Terminal 2 : Ticketing Lobby,Powder coated steel and shade cloth,powder coated steel and shade cloth,San Francisco Arts Commission,Topograph
654,2009,"Johnson, Amana",2007-2008,,52 in. x 72 in.,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 10 : Joseph Lee Recreation Center : 1395 Mendell Stree,"Basalt, basaltic clay, and concrete with glass, travertine and marble tile","basalt, basaltic clay, and concrete with glass, travertine and marble tile",San Francisco Arts Commission,Time to Dream
655,2009,"Lin, Maya",01/01/1970 12:33:28 AM +0000,,,"-122.4835193,37.76904","37.76904,-122.4835193",Museum : GGP : CA Academy of Sciences : West patio,Marine grade stainless steel,marine grade stainless steel,San Francisco Arts Commission,Where the Land Meets the Sea
656,2009,"Lin, Maya",2009-2010,,,"-122.4661846,37.7699161","37.7699161,-122.4661846",Museum : California Academy of Science,,,San Francisco Arts Commission,What's Missing
657,2009,Wowhaus,01/01/1970 12:33:29 AM +0000,,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : Sunnyside Conservatory : 236 Monterey Blvd.,Bronze,bronze,San Francisco Arts Commission,Sunnyside Menagerie
658,2009,"Donahue, Scott",01/01/1970 12:33:29 AM +0000,,,"-122.467743,37.78187","37.78187,-122.467743",Public Display : District 1 : Richmond Branch Library : 351 9th Ave.,,,San Francisco Arts Commission,Untitled Richmond Library]
659,2009,"Bates, Diana Pompelly",01/01/1970 12:33:30 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital,Stainless steel,stainless steel,San Francisco Arts Commission,Reflection
660,2009,"Telcocci, Gina",01/01/1970 12:33:29 AM +0000,,,"-122.3976046,37.759961","37.759961,-122.3976046",Public Display : District 10 : Potrero Branch Library : 1616 20th Street,Mixed Media,mixed media,San Francisco Arts Commission,here and past here
661,2009,"Corliss, Troy",Summer 2008,,,"-122.4278691,37.7424244","37.7424244,-122.4278691",Public Display : District 8 : Upper Noe Recreation Center : 30th and Day Streets,Stainless steel and glass,stainless steel and glass,San Francisco Arts Commission,Noe Valley Natives
662,2009,"Gillman, Steve and Keefer, Katherine",01/01/1970 12:33:28 AM +0000,,,"-122.415717,37.712643","37.712643,-122.415717",Public Display : District 10 : Coffman Pool : 150 Hahn Street,,,San Francisco Arts Commission,The Swimmers
663,2009,"Hall, Diane Andrews",01/01/1970 12:33:29 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital,Cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,Untitled tapestries]
664,2009,"Grieve, Mark and Spector, Ilana",2010-2011,,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 10 : Visitacion Valley Library,Steel and aluminum,steel and aluminum,San Francisco Arts Commission,Untitled
665,2009,"Davis, Michael and Schwartzenberg, Susan",01/01/1970 12:33:29 AM +0000,,,"-122.4347522,37.7694087","37.7694087,-122.4347522",Public Display : District 8 : Harvey Milk Center for Recreational Arts : Duboce,Mixed media,mixed media,San Francisco Arts Commission,"Homage to the Amateur; The American Dream, A Tribute to Harvey Milk; Bio/Obscura"
666,2009,"Smith, Owen",,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : South Residence Building : L5 : Northw,,,San Francisco Arts Commission,
667,2009,"Smith, Owen",01/01/1970 12:33:28 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital,Glass,glass,San Francisco Arts Commission,Untitled mosaics]
668,2009,"Smith, Owen",,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : South Residence Building : L5 : Southw,,,San Francisco Arts Commission,
669,2009,"Smith, Owen",,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : South Residence Building : L5 : East W,,,San Francisco Arts Commission,
670,2009,"Smith, Owen",,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : South Residence Building : L5 : Northe,,,San Francisco Arts Commission,
671,2009,"Smith, Owen",,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : North Residence Building : L5 : Northw,,,San Francisco Arts Commission,
672,2009,"Smith, Owen",,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : North Residence Building : L5 : Southw,,,San Francisco Arts Commission,
673,2009,"Smith, Owen",,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : North Residence Building : L5 : East W,,,San Francisco Arts Commission,
